set J := 1 2;
set M := 1 2 3 4;
set O := 1 2 3 4;

# processing time: [job, operation, machine]
param tp :=
[1,*,*]: 1 2 3 4 :=
1 456 999999 999999 456
2 999999 856  856 856
3 963 999999 963 963
4 999999 999999 999999 696

[2,*,*]: 1 2 3 4 :=
1 789 789 789 999999
2 999999 930 930 930
3 999999 21 21 21
4 320 320 320 999999;

# compatibility operation and machine
set R:=
(1, 1)
(1, 2)
(1, 3)
(1, 4)
(2, 2)
(2, 3)
(2, 4)
(3, 1)
(3, 2)
(3, 3)
(3, 4)
(4, 1)	
(4, 2)
(4, 3)
(4, 4);
	
# predecessors
param pr:= 
1 -1
2 1
3 2
4 3;
